date,contagiados,hospitalizados,muertes,recuperados
25-Jan,4,,0,0
26-Jan,0,,0,0
27-Jan,1,,0,0
28-Jan,0,,0,0
29-Jan,2,,0,0
30-Jan,2,,0,0
31-Jan,0,,0,0
1-Feb,1,,0,0
2-Feb,2,,0,0
3-Feb,0,,0,0
4-Feb,0,,0,0
5-Feb,0,,0,0
6-Feb,0,,0,0
7-Feb,0,,0,0
8-Feb,3,,0,5
9-Feb,0,,0,0
10-Feb,0,,0,0
11-Feb,0,,0,0
12-Feb,0,,0,0
13-Feb,0,,0,1
14-Feb,0,,0,0
15-Feb,0,,0,0
16-Feb,0,,0,2
17-Feb,0,,0,0
18-Feb,0,,0,0
19-Feb,0,,0,2
20-Feb,2,,0,0
21-Feb,4,,0,0
22-Feb,1,,0,0
23-Feb,0,,0,0
24-Feb,0,,0,5
25-Feb,1,,0,0
26-Feb,0,,0,0
27-Feb,0,,0,0
28-Feb,2,,0,0
29-Feb,1,,0,0
1-Mar,3,,1,0
2-Mar,4,,0,6
3-Mar,8,,0,0
4-Mar,11,,1,0
5-Mar,5,,0,0
6-Mar,6,,0,1
7-Mar,10,,0,0
8-Mar,7,,1,0
9-Mar,12,,0,0
10-Mar,20,,0,0
11-Mar,15,,0,0
12-Mar,29,,0,0
13-Mar,42,,0,0
14-Mar,51,,0,0
15-Mar,40,,2,3
16-Mar,78,,0,0
17-Mar,85,,0,0
18-Mar,113,,1,0
19-Mar,144,,0,21
20-Mar,167,,1,0
21-Mar,197,,0,23
22-Mar,281,,0,22
23-Mar,362,,0,27
24-Mar,430,,1,16
25-Mar,286,,1,15
26-Mar,378,,4,28
27-Mar,370,,0,46
28-Mar,460,,1,19
29-Mar,344,,2,2
30-Mar,266,,2,68
31-Mar,311,,1,51
1-Apr,303,,2,69
2-Apr,272,,3,153
3-Apr,222,,4,63
4-Apr,194,,2,51
5-Apr,141,408,5,1616
6-Apr,107,448,6,117
7-Apr,119,305,7,115
8-Apr,105,263,2,266
9-Apr,85,262,1,174
10-Apr,106,236,3,154
11-Apr,88,240,3,124
12-Apr,22,239,2,73
13-Apr,41,227,2,156
14-Apr,49,230,1,104
15-Apr,34,214,1,88
16-Apr,30,201,0,61
17-Apr,47,192,2,72
18-Apr,42,184,4,347
19-Apr,42,177,2,64
20-Apr,13,170,0,38
21-Apr,22,167,1,427
22-Apr,7,162,2,237
23-Apr,8,152,2,115
24-Apr,17,138,3,89
25-Apr,18,129,2,237
26-Apr,19,115,2,168
27-Apr,7,113,0,47
28-Apr,11,109,5,42
29-Apr,14,93,2,40
30-Apr,8,89,2,47
1-May,12,83,1,31
2-May,16,79,0,49
3-May,18,75,2,21
4-May,24,70,0,46
5-May,26,66,2,27
6-May,26,62,0,96
7-May,20,58,0,48
8-May,17,56,0,47
9-May,15,51,0,56
10-May,12,43,0,26
11-May,7,49,0,16
12-May,18,47,0,52
13-May,9,50,1,40
14-May,14,51,0,30
15-May,31,46,0,37