death1K,doctor100K,hosp100K,income1K,density
8.00,78,284,9.10,109
9.30,68,433,8.70,144
7.50,70,739,7.20,113
8.90,96,1792,8.90,97
10.20,74,477,8.30,206
8.30,111,362,10.90,124
8.80,77,671,10.00,152
8.80,168,636,9.10,162
10.70,82,329,8.70,150
11.70,89,634,7.60,134
8.50,149,631,10.80,292
8.30,60,257,9.50,108
8.20,96,284,8.80,111
7.90,83,603,9.50,182
10.30,130,686,8.70,129
7.40,145,345,11.20,158
9.60,112,1357,9.70,186
9.30,131,544,9.60,177
10.60,80,205,9.10,127
9.70,130,1264,9.20,179
11.60,140,688,8.30,80
8.10,154,354,8.40,103
9.80,118,1632,9.40,101
7.40,94,348,9.80,117
9.40,119,370,10.40,88
11.20,153,648,9.90,78
9.10,116,366,9.20,102
10.50,97,540,10.30,95
11.90,176,680,8.90,80
8.40,75,345,9.60,92
5.00,134,525,10.30,126
9.80,161,870,10.40,108
9.80,111,669,9.70,77
10.80,114,452,9.60,60
10.10,142,430,10.70,71
10.90,238,822,10.30,86
9.20,78,190,10.70,93
8.30,196,867,9.60,106
7.30,125,969,10.50,162
9.40,82,499,7.70,95
9.40,125,925,10.20,91
9.80,129,353,9.90,52
3.60,84,288,8.40,110
8.40,183,718,10.40,69
10.80,119,540,9.20,57
10.10,180,668,13.00,106
9.00,82,347,8.80,40
10.00,71,345,9.20,50
11.30,118,463,7.80,35
11.30,121,728,8.20,86
12.80,68,383,7.40,57
10.00,112,316,10.40,57
6.70,109,388,8.90,94